r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,209 CC Anderlecht 4,XX,2,3.5,3.5,3.5,3,3,3,1.5,3,4,3.5,33.5,19
2,505 Carnières,2,XX,2,2.5,2,1.5,1.5,2.5,2.5,3,4,2.5,26,15
3,952 Wavre 2,0.5,2,XX,3.5,2.5,1,3,1.5,2,2.5,2,3.5,24,13
4,540 Gazomat Gilly 1,0.5,1.5,0.5,XX,1.5,3,3,2,2.5,2.5,2.5,3,22.5,13
5,533 Lessines 1,0.5,2,1.5,2.5,XX,2,1.5,3,2,2,2.5,3,22.5,11
6,518 Soignies 2,1,2.5,3,1,2,XX,0.5,2.5,2.5,2,3,1.5,21.5,12
7,203 Fous du Roy 2,1,2.5,1,1,2.5,3.5,XX,1.5,2,2,1.5,3,21.5,10
8,228 Dworp 2,1,1.5,2.5,2,1,1.5,2.5,XX,2,2,2,3.5,21.5,11
9,506 Mons 4,2.5,1.5,2,1.5,2,1.5,2,2,XX,1.5,2,3,21.5,9
10,204 Excelsior 1,1,1,1.5,1.5,2,2,2,2,2.5,XX,3.5,2,21,9
11,501 CRE Charleroi 4,0,0,2,1.5,1.5,1,2.5,2,2,0.5,XX,3,16,7
12,521 Tournai 2,0.5,1.5,0.5,1,1,2.5,1,0.5,1,2,1,XX,12.5,3
