r,team,1,2,3,4,5,6,7,8,9,10,11,bp,mp
1,410 Sint-Niklaas 1,XX,2.5,1.5,2.5,2,2.5,3,3.5,3.5,3,4,28,17
2,243 Leuven 4,1.5,XX,1.5,2,2.5,3,2.5,2.5,4,4,3.5,27,15
3,260 Humbeek 3,2.5,2.5,XX,1,1,3,3,3,4,3.5,3,26.5,16
4,186 Ons Schaakgenoegen Kempen 3,1.5,2,3,XX,3.5,2,3,3,2.5,1.5,3,25,14
5,266 Desperado 4,2,1.5,3,0.5,XX,2,1.5,2.5,3.5,3,4,23.5,12
6,130 Hoboken 10,1.5,1,1,2,2,XX,1.5,2.5,2,4,2.5,20,9
7,228 Dworp 3,1,1.5,1,1,2.5,2.5,XX,0.5,2,2.5,4,18.5,9
8,135 Geel 1,0.5,1.5,1,1,1.5,1.5,3.5,XX,0,3,3.5,17,6
9,436 Lokeren ,0.5,0,0,1.5,0.5,2,2,4,XX,3,3,16.5,8
10,261 Opwijk 2,1,0,0.5,2.5,1,0,1.5,1,1,XX,3,11.5,4
11,174 Brasschaat 5,0,0.5,1,1,0,1.5,0,0.5,1,1,XX,6.5,0
