r,team,bp,mp
1,Pion Aalst,n.m.,0
2,Bornem,n.m.,0
3,Sint-Niklaas,n.m.,0
4,Jean Jaurès Gent 3,n.m.,0
5,Hoboken,n.m.,0
6,Ganshoren,n.m.,0
7,Machelen,n.m.,0
8,Dworp 1,n.m.,0
9,(Geraardsbergen?),,0
10,(Beveren?),,0
