r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,234 Le Mat Bruxelles 2,XX,10,9,9,8,10,10,12,,,68,20
2,506 Mons,6,XX,9,11,9,9,12,10,,,66,19
3,518 Soignies,7,7,XX,9,11,9,11,11,,,65,17
4,517 Flobecq,7,5,7,XX,10,9,9,9,,,56,15
5,229 Woluwe 2,8,7,5,6,XX,11,6,10,,,53,12
6,514 Fontaine,6,7,7,7,5,XX,10,11,,,53,11
7,501 CRE Charleroi 3,5,4,5,7,10,6,XX,7,,,44,9
8,228 Dworp 2,4,6,5,7,6,5,9,XX,,,42,9
9,507 Jumet 2,,,,,,,,,XX,,,
10,247 Alfil Negro Sint-Gillis 1,,,,,,,,,,XX,,
