r,team,bp,mp
1,Le Mat,68,0
2,Mons,66,0
3,Soignies,65,0
4,Flobecq,56,0
5,Caïssa Woluwe,53,0
6,Fontaine l' Evèque,53,0
7,CRE Charleroi 3,44,0
8,Dworp 2,42,0
9,Jumet,ff,0
10,Alfil Negro,ff,0
