r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,417 Pion Aalst 1,XX,12,12,12,14,12,18,15,16,,111,20
2,138 Bornem,12,XX,13,14,11,14,11,17,15,,107,19
3,410 Sint-Niklaas 1,12,11,XX,13,15,12,13,12,15,,103,19
4,402 Jean Jaurès Gent 3,12,10,11,XX,11,16,11,14,14,,99,15
5,130 Moretus Hoboken,10,13,9,13,XX,12,14,13,13,,97,19
6,418 Geraardsbergen 1,12,10,12,8,12,XX,11,17,14,,96,15
7,245 Ganshoren,4,12,11,13,10,13,XX,12,15,,90,17
8,240 Machelen,9,7,12,10,11,7,12,XX,15,,83,12
9,228 Dworp 1,8,9,9,10,11,10,9,9,XX,7,75,8
10,128 Beveren,,,,,,,,,17,XX,,
