r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,Fontaine 1,XX,4.5,6,2.5,4.5,5,5,2,5.5,5,5,5.5,50.5,18
2,Ruy Lopez Gent 4,1.5,XX,3,5.5,4,4.5,3,6,4,3.5,5,6,46,18
3,Mons 1,0,3,XX,2.5,2,3.5,3,5,5,3,5.5,5,37.5,13
4,Chess Club Caissa Brussel 2,3.5,0.5,3.5,XX,4.5,4.5,2.5,3,3.5,3.5,2,3.5,34.5,15
5,Namur 2,1.5,2,4,1.5,XX,2.5,3,4.5,3,3,6,3.5,34.5,11
6,Epicure,1,1.5,2.5,1.5,3.5,XX,3.5,5,4,3,2.5,3.5,31.5,11
7,Dworp 1,1,3,3,3.5,3,2.5,XX,1.5,3.5,4.5,2.5,3.5,31.5,11
8,Brussels 2,4,0,1,3,1.5,1,4.5,XX,2,5,2,3.5,27.5,9
9,Desperado Leuven 1,0.5,2,1,2.5,3,2,2.5,4,XX,3,3.5,2.5,26.5,6
10,Soignies 1,1,2.5,3,2.5,3,3,1.5,1,3,XX,2,4,26.5,6
11,CRE Bruxelles 2,1,1,0.5,4,0,3.5,3.5,4,2.5,4,XX,2,26,10
12,CRELEL Liège 2,0.5,0,1,2.5,2.5,2.5,2.5,2.5,3.5,2,4,XX,23.5,4
