r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,226 Europchess 1,XX,8,12,11,11,11,7,12,11,10,93,7.5
2,418 Geraardsbergen 2,8,XX,8,6,11,11,11,11,12,11,89,7
3,228 Dworp 2,4,8,XX,9,8,12,9,10,8,11,79,7
4,471 Wachtebeke 3,5,10,6,XX,7,8,8,8,8,11,71,4.5
5,401 K Gentse SRL 13,5,5,8,9,XX,8,6,8,11,9,69,5
6,401 K Gentse SRL 14,5,5,4,8,8,XX,9,9,10,10,68,5
7,209 CC Caïssa Anderlecht 5,9,5,7,6,10,7,XX,9,8,6,67,3.5
8,249 Ruisbroek 1,4,5,6,8,7,7,7,XX,8,10,62,2
9,260 Humbeek 5,5,4,7,8,4,6,8,8,XX,8,58,2
10,475 Rapid Aalter 7,6,5,5,5,7,6,9,6,8,XX,57,1.5
