nummer,titel,naam,rating,v/m,club,nat,ptn,perf,b cut1,buch,sb,prog,den
60,FM,Vanderwaeren Serge,2058,M,Dworp,BEL,6.0,1728,78.50,83.50,35.50,43.0,
61,,Dgebuadze Marie,1778,V,KGSRL Gent,BEL,6.0,1836,77.00,82.00,34.50,43.0,
62,,Vanmuylder Dany,1863,M,Le Pantin,BEL,6.0,1747,77.00,80.00,29.50,46.0,
63,,Bernaert Michael,1664,M,KBSK Brugge,BEL,6.0,1744,73.50,78.00,30.00,37.0,
64,,Van Bunderen Gert,1718,M,Hoboken,BEL,6.0,1707,72.50,76.00,30.00,39.0,
65,,Ramacker Nico,1804,M,Wetteren,BEL,6.0,1737,72.00,75.50,29.00,35.5,
66,,Flikweert Henry,1656,M,MSV,NED,6.0,1672,68.00,68.50,24.50,34.0,
67,,Pepermans Jelle,1748,M,SCRR (Brussel),BEL,5.5,1730,77.50,82.00,30.50,40.5,
68,,De Witte Stein,1736,M,Dolle Toren Leuven,BEL,5.5,1702,74.00,78.50,30.50,37.5,
69,,Colin Peter,1968,M,Zottegem,BEL,5.5,1594,72.50,77.50,31.00,39.5,
70,,Wouters Maarten,1735,M,Leuven Centraal,BEL,5.5,1627,72.00,75.50,25.75,36.0,
71,,Temmerman Sander,1731,M,MSV,BEL,5.5,1597,71.00,74.50,26.25,35.5,
72,,Laraibi Mahammad Javad,1517,M,,FRA,5.5,1624,70.50,75.00,28.25,33.5,
73,,Cornelis Eric,1565,M,Dworp,BEL,5.5,1647,70.50,72.00,25.00,34.5,
74,,Wilmots Yentl,1611,M,Dworp,BEL,5.5,1590,67.50,68.00,23.25,32.5,
75,FM,Wantiez Fabrice,2229,M,Monti' Chess Club,BEL,5.0,1780,81.50,86.50,31.50,48.0,
76,,Parreira Luis Miguel,1715,M,Europchess,POR,5.0,1819,78.00,82.50,30.25,40.5,
77,,Sohet Cedric,1537,M,Anderlecht,BEL,5.0,1626,77.50,81.00,25.50,33.5,
78,,Degraeve Ruben,1619,M,Dworp,BEL,5.0,1542,71.50,75.00,17.25,21.5,
79,,Boncourre Tanguy,1539,M,,FRA,5.0,1600,71.50,74.50,25.50,34.0,
80,,Veldeman Sieben,1561,M,Dendermonde,BEL,5.0,1717,71.00,74.50,24.00,37.0,
81,,Van Steenwinckel Hugo,1554,M,Kapelle-op-den-Bos,BEL,5.0,1524,69.00,70.50,21.00,30.0,
82,,Temmerman Sara,1783,V,MSV,BEL,5.0,1608,68.50,73.00,25.00,36.0,
83,,Pleska Arijus,1278,M,,NED,5.0,1407,67.50,69.00,18.50,30.0,
84,,Fivez Stev,1518,M,SCRR (Brussel),BEL,5.0,1427,65.00,65.50,15.50,29.0,
85,,Sissau Arno,0,M,Halle,BEL,5.0,1321,61.50,63.00,18.00,27.0,
86,,Oostenbach Ronny,1442,M,Landen,BEL,5.0,1386,58.50,59.00,16.00,27.0,
87,,Dreezen Thomas,0,M,Borgerhout,BEL,4.5,1645,73.50,78.50,23.75,34.5,
88,,De Meyere Dirk,1539,M,KBSK Brugge,BEL,4.5,1381,62.00,62.50,13.25,26.5,
89,,Van Overstraeten Frank,1250,M,Halle,BEL,4.5,1346,58.50,59.00,11.75,26.0,
90,,Van Quekelberghe Maarten,1302,M,MSV,BEL,4.0,1278,61.00,62.50,12.00,23.0,
91,,Van Der Voorde Sonja,1366,V,Halle,BEL,4.0,1303,61.00,61.50,9.25,23.5,
92,,Wille Geert,0,M,Temse,BEL,4.0,1204,60.00,60.50,11.00,24.0,
93,,Denayer Jarne,0,M,Halle,BEL,3.5,1197,54.50,55.00,7.75,18.5,
94,,Iolis Oleg,1984,M,Wavre,BEL,2.0,1596,63.00,66.00,10.50,23.0,
95,,Al-Kili Adil Ines,1112,V,Anderlecht,BEL,2.0,810,52.50,53.00,3.00,11.0,
96,,Vanstraelen Roel,1923,M,Hasselt,BEL,1.0,1408,62.50,64.50,5.00,13.0,
97,,Al-Kili Adil Sofia,1157,V,Anderlecht,BEL,1.0,531,56.50,58.00,3.50,8.0,
