r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,114 K Mechelse SK 2,XX,2,4,3.5,2,3.5,1.5,4,3.5,3,4,4,35,9
2,607 Rochade Eupen 3,2,XX,2.5,2.5,3,3.5,4,3,3,3.5,3.5,4,34.5,10.5
3,166 TS Mechelen 2,0,1.5,XX,3,2.5,2.5,3,2,4,2.5,4,2.5,27.5,8.5
4,240 Machelen 1,0.5,1.5,1,XX,2,1.5,4,3,3,3,3,2.5,25,6.5
5,228 Dworp 1,2,1,1.5,2,XX,0.5,2,2,2.5,3,2.5,2.5,21.5,6
6,260 Humbeek 2,0.5,0.5,1.5,2.5,3.5,XX,1,2.5,2,3,1,3,21,5.5
7,174 Brasschaat 3,2.5,0,1,0,2,3,XX,1,2.5,2.5,1.5,2.5,18.5,5.5
8,243 LV Leuven 3,0,1,2,1,2,1.5,3,XX,2.5,1.5,2.5,0.5,17.5,4
9,266 Desperado Leuven 2,0.5,1,0,1,1.5,2,1.5,1.5,XX,2,3,3,17,3
10,143 Boey Temse 3,1,0.5,1.5,1,1,1,1.5,2.5,2,XX,1.5,3,16.5,2.5
11,402 Jean Jaurès Gent 3,0,0.5,0,1,1.5,3,2.5,1.5,1,2.5,XX,2.5,16,4
12,244 WTCC Uccle 2,0,0,1.5,1.5,1.5,1,1.5,3.5,1,1,1.5,XX,14,1
