r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,514 Fontaine 3,XX,7,10,8,9,10,9,9,8,11,10,11,102,18
2,538 Fleurus 1,9,XX,10,9,7,11,9,9,9,7,6,10,96,16
3,518 Soignies 1,6,6,XX,9,8,10,9,7,12,9,9,12,97,15
4,953 Nivelles 1,8,7,7,XX,8,8,9,8,8,8,12,10,93,12
5,501 CRE Charleroi 4,7,9,8,8,XX,10,6,10,8,7,7,10,90,11
6,228 Dworp 1,6,5,6,8,6,XX,9,9,9,8,8,12,86,11
7,533 Lessines 1,7,7,7,6,10,7,XX,7,10,9,11,10,91,10
8,909 Philippeville 1,7,7,9,8,6,7,9,XX,7,8,10,10,88,10
9,418 Geraardsbergen 2,8,7,4,8,8,7,6,9,XX,8,10,11,86,10
10,521 Tournai 1,5,9,7,8,9,8,7,8,8,XX,7,9,85,10
11,548 Caïssa Europe Mons 2,6,10,7,4,9,8,4,6,6,9,XX,10,79,9
12,549 Saint-Ghislain 1,5,6,4,6,6,4,6,6,5,7,6,XX,61,0
