R,TEAM,1,2,3,4,5,6,7,8,9,10,BP,MP
1,Thibaut 3,XX,11,12,10,9,9,12,11,10,10,94.0,27
2,La Louvière,5,XX,7,12,8,6,9,12,11,12,82.0,20
3,Nivelles 2,4,9,XX,4,10,7,6,11,11,12,74.0,19
4,Ruisbroek 2,6,4,11,XX,7,7,9,9,8,9,70.0,18
5,Flenu 2,7,8,6,9,XX,10,10,7,8,7,72.0,17
6,Mons 2,7,10,8,9,5,XX,8,6,9,8,70.0,20
7,Dworp 3,4,7,10,7,6,8,XX,7,6,8,63.0,13
8,Tournai ,5,0,5,7,9,9,9,XX,12,7,63.0,16
9,Caïssa Anderlecht 6,6,5,5,8,8,7,10,0,XX,6,55.0,12
10,Caïssa Woluwe 2,4,0,0,5,9,7,8,8,10,XX,51.0,14
