R,TEAM,1,2,3,4,5,6,7,8,9,10,BP,MP
1,Waterloo 2,XX,11,9,9,9,10,10,9,7,11,85.0,25
2,Carnières,5,XX,9,8,10,10,10,8,11,10,81.0,23
3,Caïssa Anderlecht 3,7,7,XX,8,9,8,8,7,9,11,74.0,18
4,Thibaut 2,7,8,8,XX,11,5,9,7,7,11,73.0,17
5,Soignies 2,6,6,7,5,XX,8,8,12,11,10,73.0,17
6,Ruisbroek 1,6,6,8,11,8,XX,7,8,8,10,72.0,17
7,Flenu 1,6,6,8,7,8,9,XX,8,9,10,71.0,18
8,CRE Charleroi 2,7,8,9,9,0,8,8,XX,9,10,68.0,19
9,Dworp 2,9,5,7,9,5,8,7,7,XX,11,68.0,16
10,Mons 1,5,6,5,5,6,6,6,6,5,XX,50.0,9
