r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,260 Humbeek 2,XX,1,3,3,4,2,3,3.5,3,4,3,4,33.5,19
2,436 Lokeren 1,3,XX,0.5,2.5,2.5,4,3,3,3,2.5,3.5,3.5,31,20
3,402 Jean Jaures Gent 3,1,3.5,XX,1.5,3,3.5,2,1.5,3,3,2,4,28,14
4,418 Geraardsbergen 2,1,1.5,2.5,XX,3.5,2,2,2,1.5,0.5,3,4,23.5,11
5,166 TSM Mechelen 3,0,1.5,1,0.5,XX,2.5,2,1.5,4,3,3.5,2,21.5,10
6,241 Tervuren,2,0,0.5,2,1.5,XX,0,3.5,3.5,2,3,3.5,21.5,11
7,261 Opwijk 1,1,1,2,2,2,4,XX,1.5,1,1.5,3.5,2,21.5,8
8,425 Dendermonde 3,0.5,1,2.5,2,2.5,0.5,2.5,XX,1,3,2.5,2,20,12
9,228 Dworp 2,1,1,1,2.5,0,0.5,3,3,XX,4,1.5,1.5,19,8
10,245 Roque 5,0,1.5,1,3.5,1,2,2.5,1,0,XX,2,1.5,16,6
11,460 Oudenaarde 2,1,0.5,2,1,0.5,1,0.5,1.5,2.5,2,XX,2,14.5,5
12,442 Mariakerke 2,0,0.5,0,0,2,0.5,2,2,2.5,2.5,2,XX,14,8
