r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,518 Soignies 2,XX,1.5,3,3,1.5,2,3.5,3,3,3,2.5,4,30,17
2,203 Fous du Roy 1,2.5,XX,2.5,2.5,2.5,2,3.5,2.5,3,3,1.5,3,28.5,19
3,228 Dworp 1,1,1.5,XX,2.5,1.5,2.5,1.5,3.5,2.5,4,1.5,4,26,12
4,505 Carnières,1,1.5,1.5,XX,2.5,2,3.5,2,2.5,1,4,3.5,25,12
5,521 Tournai,2.5,1.5,2.5,1.5,XX,2.5,1,1,2.5,3.5,2.5,3,24,14
6,506 Mons 3,2,2,1.5,2,1.5,XX,1,2.5,2.5,3,3,2,23,12
7,245 Roque Anderlecht 4,0.5,0.5,2.5,0.5,3,3,XX,0,1.5,3,4,3,21.5,12
8,533 Lessines 1,1,1.5,0.5,2,3,1.5,4,XX,3,1,0,3,20.5,9
9,526 Montigny 2,1,1,1.5,1.5,1.5,1.5,2.5,1,XX,2,4,2,19.5,6
10,511 La Louvière,1,1,0,3,0.5,1,1,3,2,XX,3,2.5,18,9
11,952 Wavre 2,1.5,2.5,2.5,0,1.5,1,0,4,0,1,XX,4,18,8
12,201 CRE Bruxelles 4,0,1,0,0.5,1,2,1,1,2,1.5,0,XX,10,2
