r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,462 Zottegem 2,XX,1,2,4,3,2.5,2.5,2,3.5,2,2.5,4,29,17
2,436 Lokeren 1,3,XX,2,1.5,1.5,2,2,3,2,3,2.5,4,26.5,14
3,261 Opwijk 1,2,2,XX,1.5,2,2.5,3,3,2,2,3,2.5,25.5,15
4,228 Dworp 2,0,2.5,2.5,XX,1.5,4,1.5,1,2.5,2.5,3,4,25,14
5,418 Geraardsbergen 2,1,2.5,2,2.5,XX,2.5,2,1.5,1,2,3,4,24,13
6,260 Humbeek 2,1.5,2,1.5,0,1.5,XX,2,3.5,3,2.5,3,3,23.5,12
7,460 Oudenaarde 1,1.5,2,1,2.5,2,2,XX,2.5,2.5,2.5,2,1.5,22,12
8,442 Mariakerke 2,2,1,1,3,2.5,0.5,1.5,XX,2,3,1.5,3,21,10
9,402 Jean Jaurès Gent 4,0.5,2,2,1.5,3,1,1.5,2,XX,2,2.5,2,20,9
10,210 Pat Berchem,2,1,2,1.5,2,1.5,1.5,1,2,XX,2.5,2.5,19.5,8
11,471 Zelzate,1.5,1.5,1,1,1,1,2,2.5,1.5,1.5,XX,3.5,18,5
12,425 Dendermonde 2,0,0,1.5,0,0,1,2.5,1,2,1.5,0.5,XX,10,3
