r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,CRE Charleroi 2,XX,1.5,2,3,2,4,2.5,3.5,3,4,3.5,3,32,18
2,Montignies,2.5,XX,1.5,3,1.5,2,2.5,3,3.5,4,4,2,29.5,16
3,Dworp 1,2,2.5,XX,2.5,2.5,2.5,2,3,1.5,4,2.5,2,27,17
4,Fous du Roy 1,1,1,1.5,XX,2.5,2.5,1.5,2.5,3,2.5,2,4,24,13
5,Soignies 2,2,2.5,1.5,1.5,XX,3,2,2,1.5,2.5,2.5,2,23,12
6,Mons 3,0,2,1.5,1.5,1,XX,3,2.5,2,0.5,3,3,20,10
7,Roque 4,1.5,1.5,2,2.5,2,1,XX,1.5,3,2,1,2,20,8
8,Lessines 1,0.5,1,1,1.5,2,1.5,2.5,XX,2,2,2.5,3,19.5,9
9,Wavre 2,1,0.5,2.5,1,2.5,2,1,2,XX,1,1.5,3.5,18.5,8
10,La Louvière,0,0,0,1.5,1.5,3.5,2,2,3,XX,1.5,2.5,17.5,8
11,Rixensart,0.5,0,1.5,2,1.5,1,3,1.5,2.5,2.5,XX,0.5,16.5,7
12,Binche,1,2,2,0,2,1,2,1,0.5,1.5,3.5,XX,16.5,6
