nummer,naam,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,548 Caïssa Europe Mons 1,XX,3,4,4,4.5,3.5,6,3,3,5.5,5,4,45.5,19
2,401 K Gentse SRL 4,3,XX,2.5,4,3,4.5,3.5,5,3.5,3.5,3.5,4,40,18
3,228 Dworp 1,2,3.5,XX,2.5,2.5,4,6,2.5,5.5,2.5,5.5,4.5,41,12
4,239 Boitsfort 2,2,2,3.5,XX,1,4,5,0.5,2,4,5,4.5,33.5,12
5,226 Europchess 2,1.5,3,3.5,5,XX,0.5,4.5,3.5,3.5,1,2,2.5,30.5,11
6,244 Brussels CC 1,2.5,1.5,2,2,5.5,XX,4,3.5,4,3,2,3,33,10
7,174 Brasschaat 2,0,2.5,0,1,1.5,2,XX,3.5,3.5,4,4,4,26,10
8,511 Echiquier du Centre 1,3,1,3.5,5.5,2.5,2.5,2.5,XX,2.5,2.5,5,5.5,36,9
9,417 Aalst 1,3,2.5,0.5,4,2.5,2,2.5,3.5,XX,2,4,5,31.5,9
10,541 Leuze-en-Hainaut 1,0.5,2.5,3.5,2,5,3,2,3.5,4,XX,1.5,2,29.5,9
11,909 Philippeville 1,1,2.5,0.5,1,4,4,2,1,2,4.5,XX,4.5,27,8
12,201 CRE Bruxelles 2,2,2,1.5,1.5,3.5,3,2,0.5,1,4,1.5,XX,22.5,5
