R,TEAM,1,2,3,4,5,6,7,BP,MP
1,Pat Berchem 1,XX,1.5,3,3,3,4,4,18.5,10
2,Dworp 2,2.5,XX,3.5,2.5,2.5,3,4,18.0,12
3,Westland 2,1,0.5,XX,1.5,2.5,4,3,12.5,6
4,La Venerie 2,1,1.5,2.5,XX,2.5,1,2.5,11.0,6
5,Woluwe 3,1,1.5,1.5,1.5,XX,2.5,3,11.0,4
6,Rixensart 1,0,1,0,3,1.5,XX,3,8.5,4
7,SK Anderlecht 5,0,0,1,1.5,1,1,XX,4.5,0
