R,TEAM,1,2,3,4,5,6,7,BP,MP
1,LV Leuven 4,XX,2,4,2,2.5,2.5,4,17.0,10
2,Tervuren ,2,XX,1.5,2,4,3.5,4,17.0,8
3,Ruisbroek 1,0,2.5,XX,4,2,3.5,3,15.0,9
4,Ruisbroek 2,2,2,0,XX,1.5,3.5,3.5,12.5,6
5,Dworp 3,1.5,0,2,2.5,XX,2,4,12.0,6
6,Machelen 2,1.5,0.5,0.5,0.5,2,XX,1.5,6.5,1
7,Opwijk 2,0,0,1,0.5,0,2.5,XX,4.0,2
