R,TEAM,1,2,3,4,5,6,7,8,9,10,BP,MP
1,Wavre 1,XX,3.5,1.5,4.5,4.5,4,3.5,5.5,4,4.5,35.5,16
2,Waterloo 2,2.5,XX,3.5,3.5,5,2.5,3.5,3.5,5.5,6,35.5,14
3,CRE Charleroi 1,4.5,2.5,XX,3.5,1,4,3,5,3,6,32.5,12
4,Aalst 1,1.5,2.5,2.5,XX,4,2,3,5,4.5,5.5,30.5,9
5,Namur 1,1.5,1,5,1,XX,2.5,5,4.5,3.5,5,29.0,10
6,Dworp 1,2,3.5,2,4,3.5,XX,2,2.5,3.5,5,28.0,10
7,Nivelles 1,2.5,2.5,3,3,1,4,XX,2.5,3.5,6,28.0,8
8,Soignies 1,0.5,2.5,1,1,1.5,3.5,3.5,XX,4.5,5,23.0,8
9,Zaventem 1,2,0.5,3,1.5,2.5,2.5,2.5,1.5,XX,3.5,19.5,3
10,Roque 6,1.5,0,0,0.5,1,1,0,1,2.5,XX,7.5,0
