r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,209 SK Anderlecht 2,XX,2.5,5,3.5,4.5,4.5,5,5,3,5,38,15
2,901 Namur 1,3.5,XX,3,2.5,2,3,3.5,4,5,3.5,30,12
3,501 CRE Charleroi 1,1,3,XX,3.5,3,3.5,2.5,5,3,5,29.5,11
4,228 Dworp 1,2.5,3.5,2.5,XX,4,2.5,3.5,4.5,4,2.5,29.5,10
5,418 Geraardsbergen 1,1.5,4,3,2,XX,4,2.5,3.5,3.5,4.5,28.5,11
6,515 Nivelles 1,1.5,3,2.5,3.5,2,XX,2.5,4,4,5,28,9
7,505 Carnières,1,2.5,3.5,2.5,3.5,3.5,XX,0.5,2,4.5,23.5,8
8,518 Soignies 1,1,2,1,1.5,2.5,2,5.5,XX,4,4,23.5,6
9,245 Roque Anderlecht 5,3,1,3,2,2.5,2,4,2,XX,4,23.5,6
10,801 Nassogne 1,1,2.5,1,3.5,1.5,1,1.5,2,2,XX,16,2
