r,team,1,2,3,4,5,6,7,bp,mp
1,Mat of Pat 2,XX,3,2,2,3,4,3,17,10
2,Oude God 3,1,XX,1,4,2.5,3,4,15.5,8
3,Ruy Lopez Gent 9,2,3,XX,1,3,4,2,15,8
4,Willebroek,2,0,3,XX,2.5,2,4,13.5,8
5,Dworp 3,1,1.5,1,1.5,XX,2,1.5,8.5,1
6,Paroza Berchem 2,0,1,0,2,2,XX,2.5,7.5,4
7,Brasschaat 2,1,0,2,0,2.5,1.5,XX,7,3
