r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp,#
1,261 Opwijk 1,Xx,5,1.5,5.5,4.5,4,3.5,3.5,5.5,5.5,4.5,4.5,47.5,20,11
2,278 Pantin 1,1,Xx,3,2.5,1.5,3.5,3.5,4.5,5.5,3.5,5.5,5,39,15,11
3,436 LSV-Chesspirant Lokeren-Merelbeke 1,4.5,3,Xx,2.5,2.5,2.5,4,4,3,4.5,3.5,5.5,39.5,14,11
4,401 K Gentse SRL 4,0.5,3.5,3.5,Xx,2.5,3.5,4.5,3,2,3,5,5.5,36.5,14,11
5,114 K Mechelse SK 1,1.5,4.5,3.5,3.5,Xx,3,1,2.5,3.5,2.5,2,5,32.5,11,11
6,432 Wetteren 2,2,2.5,3.5,2.5,3,Xx,1,2,3.5,3,4.5,4,31.5,10,11
7,174 Brasschaat 2,2.5,2.5,2,1.5,5,5,Xx,4,2.5,3,3,3,34,9,11
8,244 Brussels CC 1,2.5,1.5,2,3,3.5,4,2,Xx,2,1.5,5,3.5,30.5,9,11
9,228 Dworp 1,0.5,0.5,3,4,2.5,2.5,3.5,4,Xx,2.5,2.5,3.5,29,9,11
,226 Europchess 2,0.5,2.5,1.5,3,3.5,3,3,4.5,3.5,Xx,2,2,29,9,11
11,201 CRE Bruxelles 2,1.5,0.5,2.5,1,4,1.5,3,1,3.5,4,Xx,2.5,25,7,11
12,541 Leuze 1,1.5,1,0.5,0.5,1,2,3,2.5,2.5,4,3.5,Xx,22,5,11
