r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,280 Chess Club 1,XX,4,6,2,3,4.5,5,5,5.5,5.5,40.5,15
2,132 Oude God Mortsel 1,2,XX,6,3,4,2.5,4.5,4.5,3.5,3.5,33.5,13
3,518 Soignies 1,0,0,XX,4,4,5.5,5,3.5,4,4,30,14
4,952 Wavre 2,4,3,2,XX,3.5,3,3.5,1.5,4.5,4.5,29.5,12
5,607 Rochade Eupen 3,3,2,2,2.5,XX,2,3,4.5,4,3.5,26.5,8
6,245 Roque Anderlecht 2,1.5,3.5,0.5,3,4,XX,2,3,4.5,3.5,25.5,10
7,901 Namur 2,1,1.5,1,2.5,3,4,XX,2.5,4.5,4,24,7
8,207 Etterbeek 1,1,1.5,2.5,4.5,1.5,3,3.5,XX,0.5,4,22,7
9,229 Woluwe 1,0.5,2.5,2,1.5,2,1.5,1.5,5.5,XX,2.5,19.5,2
10,228 Dworp 1,0.5,2.5,2,1.5,2.5,2.5,2,2,3.5,XX,19,2
