r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,Mons,XX,2,3,2.5,2.5,2.5,3,3.5,3.5,4,26.5,17
2,Carnières,2,XX,2,3,3,3,2,4,3.5,4,26.5,15
3,Jumet,1,2,XX,1.5,2,1.5,3.5,4,3,4,22.5,10
4,Montignies,1.5,1,2.5,XX,2.5,3.5,2.5,2,4,3,22.5,13
5,Uccle 2,1.5,1,2,1.5,XX,2,1,2.5,3,3,17.5,8
6,Soignies 2,1.5,1,2.5,0.5,2,XX,1.5,2.5,2,4,17.5,8
7,Chess Club 2,1,2,0.5,1.5,3,2.5,XX,2,1,3.5,17,8
8,Dworp 2,0.5,0,0,2,1.5,1.5,2,XX,1.5,3.5,12.5,4
9,Waterloo 2,0.5,0.5,1,0,1,2,3,2.5,XX,1.5,12,5
10,Nivelles,0,0,0,1,1,0,0.5,0.5,2.5,XX,5.5,2
