r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,506 Mons 1,XX,2,3,2.5,2.5,2.5,3,3.5,3.5,4,26.5,17
2,505 Carnières 1,2,XX,2,3,3,3,2,4,3.5,4,26.5,15
3,526 Jumet 1,1,2,XX,1.5,2,1.5,3.5,4,3,4,22.5,10
4,528 Montignies 1,1.5,1,2.5,XX,2.5,3.5,2.5,2,4,3,22.5,13
5,274 Uccle 2,1.5,1,2,1.5,XX,2,1,2.5,3,3,17.5,8
6,518 Soignies 2,1.5,1,2.5,0.5,2,XX,1.5,2.5,2,4,17.5,8
7,280 Chess Club 2,1,2,0.5,1.5,3,2.5,XX,2,1,3.5,17,8
8,228 Dworp 2,0.5,0,0,2,1.5,1.5,2,XX,1.5,3.5,12.5,4
9,216 Lasne-Waterloo 2,0.5,0.5,1,0,1,2,3,2.5,XX,1.5,12,5
10,953 Nivelles,0,0,0,1,1,0,0.5,0.5,2.5,XX,5.5,2
