r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,313 ZWS Waregem 3,XX,2.5,2,2,2.5,3,2.5,2.5,3.5,2,3.5,3,29,9.5
2,418 Geraardsbergen 2,1.5,XX,2,2.5,1.5,1.5,2.5,3.5,3,3,4,4,29,7.5
3,228 Dworp 3,2,2,XX,1,3,2,2.5,3,4,3,2,3.5,28,8
4,475 Rapid Aalter 3,2,1.5,3,XX,1.5,3,3,1.5,4,2,2,3,26.5,6.5
5,533 Lessines 1,1.5,2.5,1,2.5,XX,3,1.5,1,1,2.5,1.5,3,21,5
6,410 Sint-Niklaas 2,1,2.5,2,1,1,XX,2.5,1,2.5,2,3,1.5,20,5
7,462 Zottegem 1,1.5,1.5,1.5,1,2.5,1.5,XX,1.5,2,2,2,3,20,3.5
8,401 K Gentse SRL 7,1.5,0.5,1,2.5,3,3,2.5,XX,1.5,1.5,1.5,1,19.5,4
9,261 Opwijk 1,0.5,1,0,0,3,1.5,2,2.5,XX,3,2.5,2.5,18.5,5.5
10,472 Mercatel Sint-Amandsberg 2,2,1,1,2,1.5,2,2,2.5,1,XX,2,1.5,18.5,3.5
11,430 Landegem 3,0.5,0,2,2,2.5,1,2,2.5,1.5,2,XX,2,18,4.5
12,432 Wetteren 2,1,0,0.5,1,1,2.5,1,3,1.5,2.5,2,XX,16,3.5
