r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,506 Mons 3,XX,2.5,2,2.5,2,3,2.5,3,3,4,4,2,30.5,9.5
2,501 CRE Charleroi 4,1.5,XX,3,1.5,3.5,1,4,4,1.5,2,2.5,4,28.5,6.5
3,601 CRE Liège EL 5,2,1,XX,1.5,3.5,2,1.5,3,3.5,2,2.5,1.5,24,5.5
4,505 Carnières 1,1.5,2.5,2.5,XX,2.5,2.5,2.5,1.5,1.5,1.5,2.5,2.5,23.5,7
5,514 Fontaine 1,2,0.5,0.5,1.5,XX,3,0,4,3,1,3.5,2.5,21.5,5.5
6,244 WTCC Uccle 3,1,3,2,1.5,1,XX,2.5,1.5,1.5,4,1.5,2,21.5,4
7,901 Namur 2,1.5,0,2.5,1.5,4,1.5,XX,0.5,1.5,3,2.5,2.5,21,5
8,951 Lasne-Waterloo 2,1,0,1,2.5,0,2.5,3.5,XX,2.5,2,3.5,2,20.5,6
9,540 Gazomat Gilly 1,1,2.5,0.5,2.5,1,2.5,2.5,1.5,XX,2,1,3.5,20.5,5.5
10,228 Dworp 2,0,2,2,2.5,3,0,1,2,2,XX,1.5,2.5,18.5,5
11,521 Tournai 2,0,1.5,1.5,1.5,0.5,2.5,1.5,0.5,3,2.5,XX,3.5,18.5,4
12,518 Soignies 2,2,0,2.5,1.5,1.5,2,1.5,2,0.5,1.5,0.5,XX,15.5,2.5
