r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,475 Rapid Aalter 1,XX,2,2,2.5,2.5,3,1.5,3,3,3,3.5,3.5,29.5,9
2,143 Boey Temse 3,2,XX,1.5,1.5,2,4,3,2.5,3,3.5,3,3.5,29.5,8
3,269 Roosdaal 1,2,2.5,XX,1,2,2,2.5,4,1.5,3.5,3,1,25,6.5
4,240 Machelen 1,1.5,2.5,3,XX,1.5,2,2,2.5,1,3.5,1,3,23.5,6
5,130 Hoboken 4,1.5,2,2,2.5,XX,2,0.5,2,2,2.5,3.5,2.5,23,6.5
6,166 TSM Mechelen 3,1,0,2,2,2,XX,2.5,1.5,3.5,2,2.5,4,23,6
7,114 Mechelen 3,2.5,1,1.5,2,3.5,1.5,XX,1,3,1.5,2,3,22.5,5
8,260 Humbeek 2,1,1.5,0,1.5,2,2.5,3,XX,3.5,1,2.5,2.5,21,5.5
9,228 Dworp 1,1,1,2.5,3,2,0.5,1,0.5,XX,1.5,2.5,4,19.5,4.5
10,174 Brasschaat 3,1,0.5,0.5,0.5,1.5,2,2.5,3,2.5,XX,2.5,2.5,19,5.5
11,249 Ruisbroek 1,0.5,1,1,3,0.5,1.5,2,1.5,1.5,1.5,XX,1.5,15.5,1.5
12,101 KASK Antwerpen 5,0.5,0.5,3,1,1.5,0,1,1.5,0,1.5,2.5,XX,13,2
