r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,410 Sint-Niklaas 3,XX,1.5,3.5,4,3.5,1.5,3,3,3.5,3,4,3.5,34,9
2,130 Hoboken 5,2.5,XX,2,2,2.5,3,2,2,1,3,2.5,4,26.5,8
3,462 Zottegem 1,0.5,2,XX,3,3,2,2.5,3.5,1,2,0.5,3.5,23.5,6.5
4,418 Geraardsbergen 2,0,2,1,XX,3,2.5,3.5,1.5,2.5,2,2,3,23,6.5
5,402 Jean Jaurès Gent 4,0.5,1.5,1,1,XX,1,2,2.5,2.5,3.5,4,2.5,22,5.5
6,472 Mercatel Sint-Amandsberg 3,2.5,1,2,1.5,3,XX,2.5,1.5,2.5,1.5,1,2.5,21.5,5.5
7,475 Rapid Aalter 3,1,2,1.5,0.5,2,1.5,XX,3,2.5,1,3.5,2.5,21,5
8,533 Lessines 2,1,2,0.5,2.5,1.5,2.5,1,XX,2.5,1.5,2,4,21,5
9,422 MSV Eeklo 2,0.5,3,3,1.5,1.5,1.5,1.5,1.5,XX,2.5,2,2,20.5,4
10,228 Dworp 3,1,1,2,2,0.5,2.5,3,2.5,1.5,XX,2,1.5,19.5,4.5
11,313 ZWS Waregem 3,0,1.5,3.5,2,0,3,0.5,2,2,2,XX,2.5,19,5
12,401 KGSRL Gent 7,0.5,0,0.5,1,1.5,1.5,1.5,0,2,2.5,1.5,XX,12.5,1.5
