r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,272 Tibéchecs 1,XX,1.5,3.5,4,3,2,2,3.5,3.5,3,3,3.5,32.5,9
2,203 Fous du Roy 1,2.5,XX,3.5,3.5,4,2,1,3.5,1,4,3.5,3.5,32,8.5
3,260 Humbeek 3,0.5,0.5,XX,1.5,1,3.5,1,2.5,4,3.5,3,4,25,6
4,501 CRE Charleroi 3,0,0.5,2.5,XX,4,2,3,3,1,2.5,3.5,1.5,23.5,6.5
5,951 Lasne-Waterloo 2,1,0,3,0,XX,2.5,2.5,2.5,2.5,3.5,2.5,2,22,7.5
6,290 Epicure 2,2,2,0.5,2,1.5,XX,4,0,3.5,1.5,2.5,2.5,22,5.5
7,514 Fontaine 1,2,3,3,1,1.5,0,XX,2.5,2,2,1.5,1,19.5,4.5
8,204 Excelsior 1,0.5,0.5,1.5,1,1.5,4,1.5,XX,2.5,2,1,2.5,18.5,3.5
9,209 SK Anderlecht 3,0.5,3,0,3,1.5,0.5,2,1.5,XX,2,1.5,2.5,18,4
,228 Dworp 2,1,0,0.5,1.5,0.5,2.5,2,2,2,XX,2,4,18,4
11,244 WTCC Ukkel 3,1,0.5,1,0.5,1.5,1.5,2.5,3,2.5,2,XX,1.5,17.5,3.5
12,239 Bosvoorde 3,0.5,0.5,0,2.5,2,1.5,3,1.5,1.5,0,2.5,XX,15.5,3.5
