r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,403 Drie Torens Gent 1,XX,1.5,3.5,4,4,4,4.5,4,3.5,5.5,4,6,44.5,20
2,436 LSV-Chesspirant Lokeren-Merelbeke 1,4.5,XX,3,3.5,3,4,3,4.5,4,3.5,5.5,4.5,43,19
3,432 Wetteren 1,2.5,3,XX,4,4,4,3.5,1.5,4,3,5,4,38.5,16
4,952 Wavre 1,2,2.5,2,XX,5,5.5,2.5,4.5,3.5,4.5,5.5,5,42.5,14
5,143 Boey Temse 3,2,3,2,1,XX,2.5,3.5,5.5,4,4,3.5,3.5,34.5,13
6,226 Europchess 2,2,2,2,0.5,3.5,XX,1,3.5,3.5,2.5,5,4,29.5,10
7,401 K Gentse SRL 4,1.5,3,2.5,3.5,2.5,5,XX,2.5,3,4.5,2,3,33,9
8,230 Leuven Centraal 2,2,1.5,4.5,1.5,0.5,2.5,3.5,XX,2.5,3.5,5,2,29,8
9,472 Mercatel Sint-Amandsberg 1,2.5,2,2,2.5,2,2.5,3,3.5,XX,2.5,4.5,3.5,30.5,7
10,228 Dworp 1,0.5,2.5,3,1.5,2,3.5,1.5,2.5,3.5,XX,2,4,26.5,7
11,548 Caïssa Europe Mons 1,2,0.5,1,0.5,2.5,1,4,1,1.5,4,XX,3.5,21.5,6
12,951 Lasne-Waterloo 1,0,1.5,2,1,2.5,2,3,4,2.5,2,2.5,XX,23,3
