r,team,1,2,3,4,5,6,7,8,9,10,11,bp,mp
1,436 Lokeren 2,XX,7,10,9,11,11,8,12,11,10,12,101,27
2,438 Deinze 1,9,XX,8,10,10,11,9,10,8,10,12,97,28
3,417 Aalst 2,6,8,XX,11,6,9,5,10,10,11,10,86,23
4,249 Ruisbroek 1,7,6,5,XX,10,9,8,10,10,9,12,86,23
5,228 Dworp 2,5,6,10,6,XX,8,10,7,10,11,12,85,21
6,401 KGSRL Gent 5,5,5,7,7,8,XX,10,6,10,11,12,81,19
7,418 Geraardsbergen 2,8,7,11,8,6,6,XX,11,6,8,9,80,19
8,402 Jean Jaurès Gent 5,4,6,6,6,9,10,5,XX,10,10,11,77,20
9,425 Dendermonde 3,5,8,6,6,6,6,10,6,XX,10,6,69,15
10,Post Gent 1,6,6,5,7,4,5,8,5,0,XX,10,56,12
11,240 Machelen 2,3,4,6,4,2,4,7,5,10,0,XX,45,11
