r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,Boitsfort 3,XX,2.5,2.5,2,1.5,2.5,3.5,3.5,2.5,4,20.5,13
2,Carnières,1.5,XX,3,2,3.5,1.5,2.5,3,2.5,3.5,19.5,11
3,Montigny,1.5,1,XX,2.5,3.5,2,3,1.5,3.5,1,18.5,9
4,Dworp 2,2,2,1.5,XX,1.5,3.5,2,2,4,,18.5,8
5,Uccle 2,2.5,0.5,0.5,2.5,XX,3.5,2,3.5,3,1.5,18,11
6,CRE Charleroi 2,1.5,2.5,2,0.5,0.5,XX,3,2.5,1.5,,14,7
7,Dion,0.5,1.5,1,2,2,1,XX,3,2.5,3.5,13.5,6
8,Wavre 2,0.5,1,2.5,2,0.5,1.5,1,XX,2,,11,4
9,Soignies 2,1.5,1.5,0.5,0,1,2.5,1.5,2,XX,3,10.5,3
10,Jumet 2,0,0.5,3,,2.5,,0.5,,1,XX,0,0
