MATRI	NOM_PRENOM	CLUB	ELO_CALCUL
59625	HENRIS LUC	239	2307
98531	SANNER DENNIS	627	2306
46442	MAES WIM	143	2305
98183	PETZOLD KLAUS	607	2305
12815	AUBEL JOCHEM	401	2304
88617	LAURENT BRUNO	501	2303
77763	MOULIN PIERRE	518	2303
78743	PHILIPPE CHRISTOPHE	601	2303
12424	DE WACHTER MATHIAS	166	2302
87700	GOOSSENS ETIENNE	601	2301
53384	VAN BEEK LUCIEN	402	2299
11398	BUROVIC ISMET	601	2299
93211	RUCK TAMAS	627	2298
98094	HONOS ATTILA	604	2297
12653	ROOFTHOOFD MARCEL	114	2296
51861	PICEU TOM	362	2296
77321	SCHMITT ANDRE	601	2295
31267	DUHAYON YVES	201	2294
7188	GRUNEWALD LEO	352	2294
21571	KERKMEESTER HEICO	303	2293
59544	LACROSSE MARC	401	2293
66451	MICHIELS DIRK	417	2293
38202	MARCUS JOOST	109	2292
35963	VAN DER WEIJ ANTON	229	2291
1821	DELEYN GUNTER	401	2291
77976	THOENG PAULUS	101	2290
47767	JONKER MARC	303	2290
96318	MINNEBO ALAIN	201	2289
20214	DARDHA ARBEN	143	2288
93301	PERGEL LASZLO	627	2288
47538	KRAAN RICHARD	340	2286
39063	SCHALKX JOHNNY	401	2286
10448	DE HAAN ERIC	109	2285
35181	LEENHOUTS KOEN	303	2285
97209	BEECKMANS FELIX	209	2284
3867	VAN DEN BERKMORTEL THEO	303	2284
4090	VAN DER BURCH ARIE	109	2283
58459	MOINGT JEAN CLAUDE	239	2283
53571	KOOL GERARD	401	2282
35513	CROONENBORGHS TOM	101	2281
6858	SCHUERMANS ROBERT	124	2281
4073	DAELS MARC	302	2279
48372	PLOMP GORDON	130	2278
62642	FERRETTI FOLCO	542	2278
97705	CSONKA ATTILA	627	2277
48119	VEDDER RICHARD	109	2275
13668	FROEYMAN HELMUT	124	2275
95672	WILEY TOM	201	2274
14354	VAN MECHELEN JAN	243	2274
21954	CLAESEN JEROEN	243	2274
4499	BOEY JOZEF	121	2273
24813	LECLUYSE DOMINIQUE	340	2272
70416	COUPET PASCAL	621	2272
95206	HUESMANN THOMAS	607	2271
7251	COLLIN DENIS	305	2270
68845	LIEGEOIS FREDERIC	631	2268
64491	VAN HOUTTE THIERRY	201	2265
15113	VAN SCHAARDENBURG MARK	101	2264
55999	DEMARCKE DIRK	305	2264
22586	HABERKORN DANNY	109	2262
79197	FAYBISH NIMROD	209	2261
2968	OOMS ANDY	101	2258
67946	BOEYKENS MARC	143	2258
48046	BOR WILLEM	109	2257
98132	DISCHINGER FRANK	624	2256
70904	GARCIA JOSE	244	2255
7561	HALLEBEEK FRED	422	2255
52701	GHYSELS MARC	417	2253
98311	DRANISCHNIKOW EGOR	627	2253
3611	SMITS MAYKEL	143	2252
92941	RICHTER GERALD	607	2251
11991	RODRIGUEZ MARTIN EMILIO	143	2250
20745	KRIJGELMANS JOHAN	402	2250
42188	VAN DEN BRANDE WERNER	109	2249
37443	TABAK STEFAN	401	2249
77593	OSMAN MICHEL	203	2248
6084	PRAET MAARTEN	243	2248
21873	DENYS ALEX	359	2247
98825	BEGNIS NIKOLAOS	607	2247
35271	KERKHOF PHILIPPE	201	2246
77887	REBERS EUGENE	601	2246
91421	NEZAR MUSTAFA	601	2246
9741	BAERT ANDY	109	2245
84115	JOHANNES ALEXANDER	201	2245
99996	FRIEDRICHS KLAUS	604	2245
17027	DE BRUYCKER BERNARD	401	2244
58564	USACHIY VLADIMIR	201	2243
61328	BAUDUIN ETIENNE	952	2243
85456	WEBB LAURENCE	201	2241
70122	ENGSNER JOAKIM	229	2241
26638	GHYSELS CHRIS	422	2241
70823	WANTIEZ FABRICE	501	2241
38270	BARBIER WIM	143	2240
33952	VAN DER LINDEN BERT	401	2240
9245	LUMINET DENIS	201	2239
22756	BOSSUYT KOEN	243	2238
7404	DE JONGHE PETER	128	2236
66150	BOLZONI VICTOR-ANGEL	201	2236
8257	VENIS RUBEN	303	2236
57916	DURIC SLAVKO	640	2236
35572	VANHEIRZEELE DANIEL	109	2235
35467	NIETO EMANUEL	143	2235
17957	CRAPS BEN	261	2235
85791	ASTOLFI FREDERIC	506	2233
50211	MARECHAL ANDY	813	2233
40045	MICHIELS BART	401	2232
91626	SANDMEIER TONI	607	2232
99155	DUSTERWALD MARK	607	2232
53589	TOLK PIETER	124	2230
43664	HOFMAN RON	301	2230
57321	DEVOS PIET	305	2230
8052	VAN RIJ GERT	402	2230
841	TONOLI WALTER	209	2228
17124	BONNE MARCK	422	2228
22152	PROOST DANNY	124	2227
12467	DIJCKMANS BJORN	143	2227
66443	MICHIELS LUC	432	2227
98019	SIAHAAN DIPANEGARA	604	2227
92495	BLOMMAERT JEAN CLAUDE	201	2226
26361	BEZSILKO PHILIPPE	401	2226
24732	DE WOLF JOHAN	402	2226
58149	BARK ERIC	601	2226
24601	GROFFEN HANS	402	2224
87921	IOLIS OLEG	244	2223
24716	OLTHOF RENE	707	2223
40622	SOETEWEY STEVEN	357	2222
97543	OBERE FRANZ	624	2220
86274	FELECAN FLORIN	621	2219
48992	DRIESSENS PATRICK	703	2219
27839	STORK ORNETT	402	2218
57886	MEURRENS PETER	243	2217
63142	MARTYN RAFE	201	2216
