r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,260 Humbeek 6,XX,3,2.5,2,2,2.5,3,4,3.5,3.5,4,4,34,10
2,244 Brussels CC 6,1,XX,1.5,2.5,3.5,2,3,2.5,4,4,3,4,31,9
3,268 Londerzeel 1,1.5,2.5,XX,1,2,2.5,3,4,3.5,3,4,4,31,8.5
4,290 Epicure 2,2,1.5,3,XX,0.5,3,2,2.5,3,2.5,3,3.5,26.5,8
5,228 Dworp 2,2,0.5,2,3.5,XX,1,3,2.5,2.5,3,2.5,4,26.5,8
6,204 Excelsior 1,1.5,1,1.5,1,3,XX,2.5,3.5,3,3.5,3,2,25.5,6.5
7,249 Ruisbroek 2,1,1,1,2,1,1.5,XX,3,2,2,4,2.5,21,4.5
8,209 CC Caïssa Anderlecht 6,0,1.5,0,1.5,1.5,0.5,1,XX,2,2.5,3.5,4,18,3.5
9,401 K Gentse SRL 13,0.5,0,0.5,1,1.5,1,2,2,XX,1,3,3,15.5,3
10,230 Leuven Centraal 8,0.5,0,1,1.5,1,0.5,2,1.5,3,XX,2,1.5,14.5,2
11,959 Fleurus 2,0,1,0,1,1.5,1,0,0.5,1,2,XX,2,10,1
12,201 CRE Bruxelles 5,0,0,0,0.5,0,2,1.5,0,1,2.5,2,XX,9.5,2
