r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,Wirtzfeld 1,XX,5,3.5,4.5,6,4.5,6,3.5,5,5,5,6,54,11
2,CRELEL Liège 2,1,XX,3.5,3,5.5,4,4,3.5,5,2,4.5,4,40,8.5
3,Dworp 1,2.5,2.5,XX,4,3,2.5,3,3,3,4.5,5,5,38,6
4,Midden-Limburg 1,1.5,3,2,XX,2.5,3,4,4,1,4.5,4.5,3,33,5.5
5,NLS Lommel 1,0,0.5,3,3.5,XX,5,4.5,3,2.5,4.5,2.5,3.5,32.5,6
6,KSK47 Eynatten 4,1.5,2,3.5,3,1,XX,2.5,4,4.5,3,2,5,32,5
7,Amay 2,0,2,3,2,1.5,3.5,XX,4.5,3,3,4.5,3.5,30.5,5.5
8,SK Rochade 3,2.5,2.5,3,2,3,2,1.5,XX,4,1.5,4,4,30,4
9,Leuven Centraal 3,1,1,3,5,3.5,1.5,3,2,XX,1,3,5,29,4.5
10,Mons 1,1,4,1.5,1.5,1.5,3,3,4.5,5,XX,0,3.5,28.5,5
11,Namur 3,1,1.5,1,1.5,3.5,4,1.5,2,3,6,XX,3.5,28.5,4.5
12,Boey Temse 4,0,2,1,3,2.5,1,2.5,2,1,2.5,2.5,XX,20,0.5
