r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,Waterloo 1,XX,,,,,,,,,,,,0,0
2,Tessenderlo 1,,XX,,,,,,,,,,,0,0
3,Geraardsbergen 2,,,XX,,,,,,,,,,0,0
4,Leuven 2,,,,XX,,,,,,,,,0,0
5,Zaventem 1,,,,,XX,,,,,,,,0,0
6,Wavre 2,,,,,,XX,,,,,,,0,0
7,Le Mat 4,,,,,,,XX,,,,,,0,0
8,Dworp 2,,,,,,,,XX,,,,,0,0
9,Waterschei 1,,,,,,,,,XX,,,,0,0
10,Drogon Bleu,,,,,,,,,,XX,,,0,0
11,Ech. Anderlecht 1,,,,,,,,,,,XX,,0,0
12,Ruisbroek 2,,,,,,,,,,,,XX,0,0
