r,team,bp,mp
1,245 Queen Caïssa Ganshoren 1,95,0
2,203 Fous du Roy 1,92,0
3,244 Thibaut 1,91,0
4,518 Soignies,89,0
5,418 Geraardsbergen 1,79,0
6,250 Gligoric,77,0
7,228 Dworp 1,67,0
8,501 CRE Charleroi 2,66,0
9,Morphy,0,0
10,402 Jean Jaurès Gent,0,0
