r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,204 Benechec 1,XX,3,2,3.5,4,3.5,3.5,2.5,2.5,3.5,2.5,2.5,33,21
2,249 Ruisbroek,1,XX,1.5,2.5,2.5,3,3,3,3,3.5,4,4,31,18
3,228 Dworp 3,2,2.5,XX,2,2.5,3,2.5,3.5,2.5,4,3,3,30.5,20
4,244 Thibucle 3,0.5,1.5,2,XX,2.5,3,3.5,2,2.5,3,2.5,2,25,15
5,260 Humbeek 3,0,1.5,1.5,1.5,XX,2.5,1.5,3.5,4,2,3.5,3,24.5,11
6,203 Fous du Roy 3,0.5,1,1,1,1.5,XX,3,3,1.5,1.5,4,3,21,8
7,261 Opwijk 2,0.5,1,1.5,0.5,2.5,1,XX,3,2.5,2.5,2,3,20,11
8,268 Londerzeel,1.5,1,0.5,2,0.5,1,1,XX,3,2.5,4,3,20,9
9,240 Machelen 2,1.5,1,1.5,1.5,0,2.5,1.5,1,XX,2,3,2.5,18,7
10,130 Hoboken 9,0.5,0.5,0,1,2,2.5,1.5,1.5,2,XX,2.5,3,17,8
11,229 Woluwe 2,1.5,0,1,1.5,0.5,0,2,0,1,1.5,XX,3.5,12.5,3
12,245 Roque Anderlecht 5,1.5,0,1,2,1,1,1,1,1.5,1,0.5,XX,11.5,1
