r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,425 Dendermonde,XX,1.5,2.5,3,3,1.5,2.5,2.5,2.5,2.5,2.5,2.5,26.5,18
2,401 K Gentse SRL 8,2.5,XX,4,1.5,3,2,1.5,2,1.5,3,2,3.5,26.5,13
3,436 Lokeren 1,1.5,0,XX,2,2.5,3.5,1,4,2,4,2.5,3,26,14
4,261 Opwijk 1,1,2.5,2,XX,2,2.5,2.5,1,4,2,2,3,24.5,14
5,506 Mons 5,1,1,1.5,2,XX,2,2.5,3,3.5,2,1.5,3,23,11
6,422 MSV Eeklo 4,2.5,2,0.5,1.5,2,XX,2.5,2.5,1.5,1.5,3,2,21.5,11
7,241 Tervuren,1.5,2.5,3,1.5,1.5,1.5,XX,2.5,2.5,1.5,1.5,1.5,21,8
8,402 Jean Jaurès Gent 3,1.5,2,0,3,1,1.5,1.5,XX,2,3,2,3.5,21,9
9,228 Dworp 2,1.5,2.5,2,0,0.5,2.5,1.5,2,XX,2,2.5,3.5,20.5,11
10,166 TS Mechelen 3,1.5,1,0,2,2,2.5,2.5,1,2,XX,3,2.5,20,11
11,418 Geraardsbergen 2,1.5,2,1.5,2,2.5,1,2.5,2,1.5,1,XX,1,18.5,7
12,475 Doorbraak Aalter,1.5,0.5,1,1,1,2,2.5,0.5,0.5,1.5,3,XX,15,5
