r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,910 Ludisan 2,XX,2.5,2,3,3.5,2,3.5,3.5,3,3.5,3.5,3,33,20
2,505 Carnières,1.5,XX,1.5,1,4,2,2.5,4,3.5,4,2.5,3.5,30,15
3,203 Fous du Roy 2,2,2.5,XX,1,2,3.5,2.5,1.5,2.5,3.5,3,3,27,16
4,228 Dworp 1,1,3,3,XX,1.5,2,1.5,1.5,2,2.5,4,4,26,12
5,245 Roque 4,0.5,0,2,2.5,XX,1,2.5,2.5,1.5,3.5,3.5,4,23.5,13
6,501 CRE Charleroi 3,2,2,0.5,2,3,XX,3,3,2,1.5,3,1,23,12
7,533 Lessines 1,0.5,1.5,1.5,2.5,1.5,1,XX,2.5,2.5,2.5,3,3,22,12
8,506 Mons 4,0.5,0,2.5,2.5,1.5,1,1.5,XX,2.5,2.5,3,3,20.5,12
9,521 Tournai,1,0.5,1.5,2,2.5,2,1.5,1.5,XX,3,2,2.5,20,9
10,523 Binche,0.5,0,0.5,1.5,0.5,2.5,1.5,1.5,1,XX,3,4,16.5,6
11,511 La Louvière,0.5,1.5,1,0,0.5,1,1,1,2,1,XX,3,12.5,3
12,526 Montigny 2,1,0.5,1,0,0,3,1,1,1.5,0,1,XX,10,2
