nummer,naam,rating,ptn,perf,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13
1,Hautot Stéphane (IM),2328,11.0,2496,55B +,13W +,16B +,7W -,17B +,19W +,11B +,2W =,3B +,5W +,4B +,9W +,6B =
2,Dgebuadze Alexandre (GM),2526,10.5,2473,53W +,51B +,21W +,4B +,3W =,12B +,6W +,1B =,11W =,7B =,10B =,5W +,13W +
3,Alienkin Aleksander (IM),2358,10.0,2401,59W +,25B +,14W +,6B +,2B =,11W +,7B +,18W =,1W -,4B -,27W +,10B +,16B +
4,Lenaerts Lennert (FM),2303,9.5,2327,73B +,64W +,29B +,2W -,42B +,9W +,62B -,16W +,8B +,3W +,1W -,19B =,7B +
5,Roos Adrian (FM),2289,9.0,2249,57W +,35B +,22W +,62B -,29W -,70B +,15W +,34B +,17W +,1B -,25W +,2B -,20W +
6,Boucquet Emile,2157,9.0,2242,52B +,63W +,9B +,3W -,15B +,31W +,2B -,11W -,20B +,28W +,8B +,7W =,1W =
7,Cools Gorik (FM),2252,9.0,2303,50W +,39B +,27W +,1B +,12W -,29B +,3W -,31B +,62W +,2W =,11B +,6B =,4W -
8,Huynh Laurent,1890,9.0,2191,94W +,30B +,17W -,20B =,25W =,14B +,27W +,22B +,4W -,21B +,6W -,31B +,19W +
9,Aragones-Melhem Georgy,2026,9.0,2148,81W +,80B +,6W -,68B +,14W +,4B -,74W +,10B =,12W +,25B =,31W +,1B -,18W +
10,Wantiez Fabrice (FM),2260,9.0,2216,49B +,23W +,42B -,64W =,13B +,26W +,16B =,9W =,18B +,62B F,2W =,3W -,14B +
11,Claesen Pieter (IM),2318,8.5,2266,74W +,31B +,20W +,45B +,62W +,3B -,1W -,6B +,2B =,13W +,7W -,18B -,26B +
12,Dardha Daniel (FM),1932,8.5,2145,86W +,17B =,26W F,42W +,7B +,2W -,18B -,19W +,9B -,26W -,40B +,51B +,30W +
13,Lot Diederik,1976,8.5,2088,76W +,1B -,57W +,65B +,10W -,32B +,19B =,40W +,41W +,11B -,17B +,26W +,2B -
14,Depauw Christian,2078,8.0,2015,66B +,68W +,3B -,36W +,9B -,8W -,55B +,23B +,31W -,63W +,43B +,33B +,10W -
15,Roels Frederik,2010,8.0,1974,75W +,62B -,74W +,56B +,6W -,45B +,5B -,32W -,54B +,43W -,55B +,47W +,41W +
