nummer,naam,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,436 LSV-Chesspirant 2,XX,1.5,2,3,2.5,3,4,4,4,2,3,3.5,32.5,18
2,417 Aalst 1,2.5,XX,2,4,2.5,2,3,3,2,1.5,3,3,28.5,17
3,418 Geraardsbergen 1,2,2,XX,0,3.5,3,4,3.5,4,1.5,4,4,31.5,16
4,278 Pantin 4,1,0,4,XX,1,3,1,2,1.5,2.5,4,3.5,23.5,11
5,462 Zottegem 2,1.5,1.5,0.5,3,XX,4,3,1,1.5,3.5,1,2.5,23,10
6,261 Opwijk 2,1,2,1,1,0,XX,3,0,4,4,2,4,22,10
7,228 Dworp 3,0,1,0,3,1,1,XX,4,4,2.5,4,1,21.5,10
8,460 Oudenaarde 1,0,1,0.5,2,3,4,0,XX,0,2,3,3,18.5,10
9,471 Wachtebeke 3,0,2,0,2.5,2.5,0,0,4,XX,2.5,2,0,15.5,10
10,432 Wetteren 3,2,2.5,2.5,1.5,0.5,0,1.5,2,1.5,XX,2,2.5,18.5,9
11,244 Brussels CC 3,1,1,0,0,3,2,0,1,2,2,XX,2.5,14.5,7
12,401 K Gentse SRL 7,0.5,1,0,0.5,1.5,0,3,1,4,1.5,1.5,XX,14.5,4
