nummer,naam,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,278 Pantin 1,XX,4.5,2,3.5,3,3.5,3.5,4,4.5,4,5.5,6,44,19
2,228 Dworp 1,1.5,XX,4,5,3.5,4,5,6,4,2.5,3,5,43.5,17
3,401 K Gentse SRL 4,4,2,XX,4,3.5,5,2,1.5,3.5,4,5.5,4,39,16
4,239 Boitsfort 2,2.5,1,2,XX,3.5,3.5,5,3.5,5,2.5,4.5,5.5,38.5,14
5,541 Leuze-en-Hainaut 1,3,2.5,2.5,2.5,XX,4,3,3.5,4.5,4.5,3.5,3.5,37,14
6,244 Brussels CC 1,2.5,2,1,2.5,2,XX,3.5,4.5,3.5,4.5,4,5,35,12
7,244 Brussels CC 2,2.5,1,4,1,3,2.5,XX,5.5,3,2.5,4,3.5,32.5,10
8,548 Caïssa Europe Mons 1,2,0,4.5,2.5,2.5,1.5,0.5,XX,3,4,3.5,5.5,29.5,9
9,230 Leuven Centraal 2,1.5,2,2.5,1,1.5,2.5,3,3,XX,5,2,5.5,29.5,6
10,909 Philippeville 1,2,3.5,2,3.5,1.5,1.5,3.5,2,1,XX,1.5,2,24,6
11,209 The Belgian CC Anderlecht 2,0.5,3,0.5,1.5,2.5,2,2,2.5,4,4.5,XX,2.5,25.5,5
12,501 CRE Charleroi 2,0,1,2,0.5,2.5,1,2.5,0.5,0.5,4,3.5,XX,18,4
