r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,278 Pantin 1,XX,2,2.5,3.5,1.5,2.5,4,4,3,3.5,26.5,15
2,288 Capablanca 1,2,XX,2,2.5,3,3,4,3,3,3.5,26,16
3,239 La Vénerie Watermaal-Bosvoorde 2,1.5,2,XX,2.5,2.5,1.5,3,2,2,3.5,20.5,11
4,201 CRE Bruxelles 4,0.5,1.5,1.5,XX,3.5,1.5,1.5,2,3,2.5,17.5,7
5,244 Thibaut 2,2.5,1,1.5,0.5,XX,2,1.5,2,3,3,17,8
6,274 Uccle 1,1.5,1,2.5,2.5,2,XX,0.5,2,1.5,3,16.5,8
7,228 Dworp 1,0,0,1,2.5,2.5,3.5,XX,2.5,2,2,16,10
8,209 SK Anderlecht 4,0,1,2,2,2,2,1.5,XX,1.5,2,14,5
9,229 Woluwe 1,1,1,2,1,1,2.5,2,2.5,XX,0.5,13.5,6
10,401 K Gentse SRL 7,0.5,0.5,0.5,1.5,1,1,2,2,3.5,XX,12.5,4
