[TOURNAMENT]
1;8ste Memorial Debast - VSF Blitz 2023
2;Dworpse Schaakkring
3;Huizingen
4;2023/09/09
5;2023/09/09
6;SWISS
7;T_BLITZ
8;13

[PLAYER]
20621
9954
47490
34584
22659
21572
21306
3003
6807
56863
37389
10832
655
25065
15482
20531
50152
97868
22007
21881
1929
34045
26972
26700
16563
31682
18686
24858
21436
23905
14849
36036633
15150
76317
26003040
12899
58947
13376
12809
16894
16881
16932
60468
17481
17488
12750
12702
17614
54658
10415
10252
11221
16868
17843
17684
19889
19897
14078
14086
43346
14985
45186359
12453
10612
11064
