r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,465 Artevelde 1,XX,2.5,3.5,4,3,3.5,4,2,2.5,3,3,4,35,10.5
2,471 Wachtebeke 2,1.5,XX,2,2.5,2.5,2,3,3,3.5,3,3.5,3.5,30,9
3,417 Aalst 2,0.5,2,XX,2.5,3.5,0.5,0.5,3,2,2.5,2.5,3.5,23,7
4,430 Landegem 3,0,1.5,1.5,XX,1,3,1.5,2,3.5,2,3,3,22,5
5,402 Jean Jaurès Gent 3,1,1.5,0.5,3,XX,1.5,2,2,1.5,2,3,4,22,4.5
6,266 Desperado Leuven 4,0.5,2,3.5,1,2.5,XX,2,2.5,2.5,1.5,1.5,2,21.5,5.5
7,130 Hoboken 7,0,1,3.5,2.5,2,2,XX,1.5,3,2,1.5,2,21,5
8,418 Geraardsbergen 2,2,1,1,2,2,1.5,2.5,XX,2.5,3,1,2,20.5,5
9,269 Roosdaal,1.5,0.5,2,0.5,2.5,1.5,1,1.5,XX,3,2.5,3,19.5,4.5
10,410 Sint-Niklaas 2,1,1,1.5,2,2,2.5,2,1,1,XX,2.5,2.5,19,4.5
11,228 Dworp 2,1,0.5,1.5,1,1,2.5,2.5,3,1.5,1.5,XX,3,19,4
12,244 Brussels CC 5,0,0.5,0.5,1,0,2,2,2,1,1.5,1,XX,11.5,1.5
