r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,LV Leuven 2,XX,2.5,2.5,1.5,4,5,3.5,4,4,6,6,5.5,44.5,8
2,Mons 1,3.5,XX,2.5,4,4,2,3,5,4,5,5.5,5.5,44,8.5
3,KGSRL Gent 5,3.5,3.5,XX,5.5,4.5,3,4.5,2.5,3.5,3.5,4,5.5,43.5,9.5
4,Midden-Limburg 1,4.5,2,0.5,XX,5,4,4,5,4.5,3.5,5,5,43,9
5,Desperado Leuven 1,2,2,1.5,1,XX,3,3.5,5,4,5,5.5,5,37.5,6.5
6,Dworp 1,1,4,3,2,3,XX,3,3.5,1.5,4.5,5.5,6,37,6.5
7,Wavre 1,2.5,3,1.5,2,2.5,3,XX,3,3.5,4,4,4.5,33.5,5.5
8,Lasne 1,2,1,3.5,1,1,2.5,3,XX,4.5,4.5,4.5,5.5,33,5.5
9,CRE Bruxelles 2,2,2,2.5,1.5,2,4.5,2.5,1.5,XX,2.5,1.5,4.5,27,2
10,Brussels 2,0,1,2.45,2.5,1,1.5,2,1.5,3.5,XX,4.5,3,22.95,2.5
11,Anderlecht 2,0,0.5,2,1,0.5,0.5,2,1.5,4.5,1.5,XX,3.5,17.5,2
12,Bosvoorde 2,0.5,0.5,0.45,1,1,0,1.5,0.5,1.5,3,2.5,XX,12.45,0.5
