r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,290 Epicure 2,XX,6,9,11,7,10,11,9,11,9,11,10,104,18
2,239 Boitsfort 2,10,XX,5,10,9,11,8,11,11,9,8,9,101,18
3,228 Dworp 1,7,11,XX,10,5,9,11,10,12,8,8,12,103,16
4,518 Soignies 1,5,6,6,XX,9,9,8,10,12,9,7,11,92,13
5,244 Brussels CC 2,9,7,11,7,XX,7,11,8,12,8,7,11,98,12
6,209 CC Anderlecht 4,6,5,7,7,9,XX,10,8,8,8,10,12,90,11
7,548 Caïssa Europe Mons 4,5,8,5,8,5,6,XX,9,4,11,11,9,81,10
8,953 Nivelles 1,7,5,6,6,8,8,7,XX,9,10,11,8,85,9
9,501 CRE Charleroi 4,5,5,4,4,4,8,12,7,XX,10,9,9,77,9
10,229 Woluwe 1,7,7,8,7,8,8,5,6,6,XX,10,11,83,7
11,201 CRE Bruxelles 3,5,8,8,9,9,6,5,5,7,6,XX,7,75,6
12,514 Fontaine 3,6,7,4,5,5,4,7,8,7,5,9,XX,67,3
