r,team,1,2,3,4,5,6,7,8,9,10,11,bp,mp
1,228 Dworp 2,XX,9,10,9,10,12,8,10,12,12,12,104,19
2,204 Excelsior 2,7,XX,8,10,10,8,9,9,10,9,10,90,16
3,231 Dolle Toren Leuven 1,6,8,XX,6,8,9,9,10,9,11,10,86,14
4,244 Brussels CC 4,7,6,10,XX,12,5,8,11,12,8,11,90,12
5,229 Woluwe 3,6,6,8,4,XX,12,10,7,11,11,8,83,10
6,114 K Mechelse SK 4,4,8,7,10,4,XX,6,8,12,9,11,79,10
7,239 Boitsfort 4,8,7,5,8,6,10,XX,8,6,9,12,79,9
8,132 Oude God Mortsel 5,6,7,6,5,9,8,8,XX,7,10,12,78,8
9,230 Leuven Centraal 6,4,6,7,4,5,4,8,9,XX,9,10,66,8
10,260 Humbeek 4,3,7,5,8,5,7,7,6,7,XX,10,65,3
11,207 Les Deux Fous du Diogène 2,4,6,6,5,8,5,3,4,5,5,XX,51,1
