r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,244 Brussels 2,XX,3,2,3,3.5,2,3.5,3.5,3.5,3.5,1.5,3.5,32.5,9
2,272 Tibéchecs 1,1,XX,3,2,2,2.5,3.5,2.5,0.5,3.5,3.5,2.5,26.5,8
3,204 Excelsior 1,2,1,XX,3.5,2.5,1,2,1,3,2,4,3.5,25.5,6.5
4,533 Lessines 1,1,2,0.5,XX,1.5,4,1,2.5,4,4,2,2,24.5,5.5
5,506 Mons 2,0.5,2,1.5,2.5,XX,0,1.5,2.5,2.5,3,3,3,22,6.5
6,209 Anderlecht 3,2,1.5,3,0,4,XX,1.5,1.5,0.5,3,2,2.5,21.5,5
7,261 Opwijk,0.5,0.5,2,3,2.5,2.5,XX,3,1,2,2,2,21,6
8,203 Fous du Roy 2,0.5,1.5,3,1.5,1.5,2.5,1,XX,2,2,3,2,20.5,4.5
9,501 CRE Charleroi 3,0.5,3.5,1,0,1.5,3.5,3,2,XX,1,1,3,20,4.5
10,228 Dworp 2,0.5,0.5,2,0,1,1,2,2,3,XX,3,2.5,17.5,4.5
11,260 Humbeek 3,2.5,0.5,0,2,1,2,2,1,3,1,XX,2.5,17.5,4.5
12,541 Leuze 1,0.5,1.5,0.5,2,1,1.5,2,2,1,1.5,1.5,XX,15,1.5
