r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,228 Dworp 1,XX,2,3,3.5,3,1.5,3.5,3,3,2.5,3.5,3,31.5,9.5
2,418 Geraardsbergen 2,2,XX,2.5,1.5,1.5,3.5,3.5,2.5,2,4,4,3.5,30.5,8
3,109 Borgerhout 5,1,1.5,XX,3,1.5,2,1,3,2.5,3.5,3.5,3.5,26,6.5
4,249 Ruisbroek 1,0.5,2.5,1,XX,3,2,1.5,2,2.5,3.5,3.5,2.5,24.5,7
5,243 LV Leuven 3,1,2.5,2.5,1,XX,2,3,3,2,4,2,1.5,24.5,6.5
6,269 Roosdaal 1,2.5,0.5,2,2,2,XX,1.5,2,2.5,1.5,3.5,3,23,6
7,266 Desperado Leuven 3,0.5,0.5,3,2.5,1,2.5,XX,1.5,3,0,2.5,2.5,19.5,6
8,260 Humbeek 2,1,1.5,1,2,1,2,2.5,XX,1.5,1,2.5,3.5,19.5,4
9,240 Machelen 1,1,2,1.5,1.5,2,1.5,1,2.5,XX,1.5,2,3,19.5,3.5
10,130 Hoboken 6,1.5,0,0.5,0.5,0,2.5,4,3,2.5,XX,2.5,1.5,18.5,5
11,174 Brasschaat 3,0.5,0,0.5,0.5,2,0.5,1.5,1.5,2,1.5,XX,3,13.5,2
12,733 Sint-Truiden,1,0.5,0.5,1.5,2.5,1,1.5,0.5,1,2.5,1,XX,13.5,2
