r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,548 caissa europe 2,xx,7,10,9,11,11,10,10,12,10,9,12,111,20
2,244 brussels chess club 2,9,xx,10,8,9,9,11,10,8,8,9,9,100,19
3,533 lessines 1,6,6,xx,8,7,11,8,10,12,10,10,9,97,14
4,201 cre bruxelles 4,7,8,8,xx,11,8,11,8,6,4,11,10,92,12
5,209 SK anderlecht 4,5,7,9,4,xx,10,10,7,12,7,8,10,89,11
6,207 Les Deux Fous du Diogène 1,5,7,5,8,6,xx,4,9,10,10,9,11,84,11
7,228 dworp 2,5,4,8,5,6,12,xx,8,9,10,6,11,84,10
8,229 woluwe 2,6,6,6,8,9,7,8,xx,7,8,10,9,84,9
9,521 tournai 1,4,8,3,10,4,6,7,9,xx,9,8,8,76,9
10,239 boitsfort 3,6,8,6,12,9,6,6,8,7,xx,8,8,84,8
11,952 wavre 3,7,7,5,5,8,3,10,6,8,8,xx,9,76,7
12,501 cre charleroi 5,4,7,7,6,6,5,5,7,8,8,7,xx,70,2
