r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,538 Fleurus 1,XX,9,9,10,12,11,6,8,9,9,10,9,93,17
2,953 Nivelles 1,7,XX,9,10,8,10,8,9,10,11,12,,94,16
3,518 Soignies 1,7,7,XX,10,10,11,8,8,7,7,10,,85,11
4,909 Philippeville 1,6,6,6,XX,8,8,11,9,10,8,10,,82,11
5,952 Wavre 2,3,8,6,8,XX,5,11,7,10,10,8,,76,9
6,618 Amay 4,5,6,5,8,11,XX,8,4,11,9,8,,75,9
7,548 Caïssa Europe Mons 1,10,8,8,5,5,8,XX,9,6,9,4,,72,9
8,228 Dworp 1,8,7,7,7,8,12,7,XX,3,11,8,,78,8
9,601 CRE Liège EL 3,6,6,9,6,6,5,10,12,XX,6,8,,74,7
10,514 Fontaine 4,7,5,9,8,6,7,7,5,10,XX,9,,73,7
11,501 CRE Charleroi 4,6,4,6,6,8,8,12,8,8,7,XX,4,73,6
12,604 KSK 47 Eynatten 5,7,,,,,,,,,,12,XX,,
