r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp,#
1,952 Wavre 1,XX,5,1.5,6,3.5,4.5,6,6,5.5,3.5,4.5,4.5,50.5,20,11
2,278 Pantin 1,1,XX,3,6,4,2,3.5,4,5.5,3.5,5,5,42.5,17,11
3,226 Europchess 2,4.5,3,XX,2,4.5,3,6,5,3,4,4,2,41,15,11
4,239 Boitsfort 2,0,0,4,XX,3,3,3,2,4,4,4,3.5,30.5,13,11
5,244 Brussels CC 1,2.5,2,1.5,3,XX,4.5,2,3.5,4.5,4.5,4,2.5,34.5,11,11
6,114 K Mechelse SK 1,1.5,4,3,3,1.5,XX,1.5,1.5,3,4,3,6,32,10,11
7,209 The Belgian CC Anderlecht 2,0,2.5,0,3,4,4.5,XX,3,2.5,2.5,4.5,3,29.5,9,11
8,548 Caïssa Europe Mons 1,0,2,1,4,2.5,4.5,3,XX,0,3,3.5,3,26.5,9,11
9,174 Brasschaat 2,0.5,0.5,3,2,1.5,3,3.5,6,XX,2.5,0,3.5,26,8,11
10,228 Dworp 1,2.5,2.5,2,2,1.5,2,3.5,3,3.5,XX,2.5,6,31,7,11
11,417 Aalst 1,1.5,1,2,2,2,3,1.5,2.5,6,3.5,XX,3.5,28.5,7,11
12,462 Zottegem 2,1.5,1,4,2.5,3.5,0,3,3,2.5,0,2.5,XX,23.5,6,11
