nummer,naam,1,2,3,4,5,6,7,8,9,10,11,bp,mp
1,548 Caïssa Europe Mons 5,XX,3,2,2.5,4,2.5,2,4,3,2.5,2.5,28,18
2,228 Dworp 2,1,XX,2.5,2.5,3.5,3,2.5,2.5,3.5,2.5,4,27.5,18
3,902 CE Sambrevillois 2,2,1.5,XX,2,3,3.5,3,1,3,3,3,25,14
4,261 Opwijk 5,1.5,1.5,2,XX,0.5,2.5,1,3,3,2,3.5,20.5,10
5,521 Tournai 3,0,0.5,1,3.5,XX,2.5,3,4,1,2,2,19.5,10
6,514 Monti' CC 3,1.5,1,0.5,1.5,1.5,XX,2,2.5,3,2.5,3,19,9
7,548 Caïssa Europe Mons 6,2,1.5,1,3,1,2,XX,1,0,3,3.5,18,8
8,901 Namur 5,0,1.5,3,1,0,1.5,3,XX,2.5,2.5,0.5,15.5,8
9,961 Braine Echecs 2,1,0.5,1,1,3,1,4,1.5,XX,3,2,18,7
10,549 Saint-Ghislain 2,1.5,1.5,1,2,2,1.5,1,1.5,1,XX,2.5,15.5,4
11,953 Nivelles 1,1.5,0,1,0.5,2,1,0.5,3.5,2,1.5,XX,13.5,4
