r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp,#
1,514 Fontaine 3,XX,4.5,4.5,4.5,4.5,4.5,5,3.5,5.5,3,3.5,4.5,47.5,21,11
2,278 Pantin 1,1.5,XX,3.5,5.5,3.5,4.5,5.5,5,4,3.5,4.5,4.5,45.5,20,11
3,244 Brussels CC 1,1.5,2.5,XX,2.5,3,4.5,4.5,3.5,3.5,5,4.5,4.5,39.5,15,11
4,226 Europchess 2,1.5,0.5,3.5,XX,4,3,2.5,4.5,3,5.5,5,4,37.0,14,11
5,228 Dworp 1,1.5,2.5,3,2,XX,3,4,3.5,3,4.5,4.5,5,36.5,13,11
6,174 Brasschaat 4,1.5,1.5,1.5,3,3,XX,3.5,3.5,3,4,3,5,32.5,12,11
7,462 Zottegem 3,1,0.5,1.5,3.5,2,2.5,XX,3,3.5,2,5,5,29.5,9,11
8,417 Aalst 1,2.5,1,2.5,1.5,2.5,2.5,3,XX,4.5,4,3.5,2,29.5,7,11
9,114 K Mechelse SK 2,0.5,2,2.5,3,3,3,2.5,1.5,XX,1.5,5,4.5,29.0,7,11
10,548 Caïssa Europe Mons 1,3,2.5,1,0.5,1.5,2,4,2,4.5,XX,2.5,4.5,28.0,7,11
11,229 Woluwe 1,2.5,1.5,1.5,1,1.5,3,1,2.5,1,3.5,XX,3,22.0,4,11
12,521 Tournai 1,1.5,1.5,1.5,2,1,1,1,4,1.5,1.5,3,XX,19.5,3,11
