r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,Wavre 2,XX,1,3,3,3,3,4,2.5,2,3.5,25,15
2,Waterloo 2,3,XX,2,2.5,3.5,2,1.5,2,3.5,4,24,13
3,Montignies 1,1,2,XX,2,3,2.5,2.5,3,4,3.5,23.5,14
4,Mons 1,1,1.5,2,XX,3,4,2,2.5,3.5,4,23.5,12
5,Tienen 1,1,0.5,1,1,XX,3.5,4,1.5,3,2.5,18,8
6,Westland 2,1,2,1.5,0,0.5,XX,3.5,2,1.5,4,16,6
7,Nivelles,0,2.5,1.5,2,0,0.5,XX,2.5,3,3,15,9
8,Dworp 2,1.5,2,1,1.5,2.5,2,1.5,XX,2.5,0,14.5,6
9,Carnières 2,2,0.5,0,0.5,1,2.5,1,1.5,XX,4,13,5
10,Fontaine,0.5,0,0.5,0,1.5,0,1,4,0,XX,7.5,2
