r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,223 Wavre 2,XX,1,3,3,3,3,4,2.5,2,3.5,25,15
2,216 Lasne-Waterloo 2,3,XX,2,2.5,3.5,2,1.5,2,3.5,4,24,13
3,528 Montignies 1,1,2,XX,2,3,2.5,2.5,3,4,3.5,23.5,14
4,506 Mons 1,1,1.5,2,XX,3,4,2,2.5,3.5,4,23.5,12
5,712 Tienen 1,1,0.5,1,1,XX,3.5,4,1.5,3,2.5,18,8
6,274 Westland 2,1,2,1.5,0,0.5,XX,3.5,2,1.5,4,16,6
7,515 Nivelles,0,2.5,1.5,2,0,0.5,XX,2.5,3,3,15,9
8,228 Dworp 2,1.5,2,1,1.5,2.5,2,1.5,XX,2.5,0,14.5,6
9,505 Carnières 2,2,0.5,0,0.5,1,2.5,1,1.5,XX,4,13,5
10,514 Fontaine,0.5,0,0.5,0,1.5,0,1,4,0,XX,7.5,2
