r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,CRE Charleroi 1,XX,3.5,2.5,3,2,3.5,5,4.5,4,5,33,13
2,Waterloo 1,2.5,XX,1.5,4.5,3,3.5,3,5,4.5,5.5,33,12
3,Chess Club 1,3.5,4.5,XX,1,3,3.5,3,4.5,4.5,4.5,32,14
4,Oude God 1,3,1.5,5,XX,2.5,4,3,4,4,4,31,12
5,Thibaut,4,3,3,3.5,XX,3,3.5,2.5,2,4,28.5,11
6,Rochade Kelmis,2.5,2.5,2.5,2,3,XX,3,3.5,3.5,4,26.5,8
7,Soignies,1,3,3,3,2.5,3,XX,2.5,4,3.5,25.5,8
8,Dworp 1,1.5,1,1.5,2,3.5,2.5,3.5,XX,3.5,4,23,8
9,Carnières 1,2,1.5,1.5,2,4,2.5,2,2.5,XX,2,20,2
10,Roque 2,1,0.5,1.5,2,2,2,2.5,2,4,XX,17.5,2
