r,team,1,2,3,4,5,6,7,8,bp,mp
1,175 Halle Zoersel,XX,2.5,4,4,4,3,3.5,4,25,14
2,280 Chess Club 2,1.5,XX,1,3,3,2,3.5,3,17,9
3,229 Caïssa Woluwe 3,0,3,XX,3.5,2,1.5,1.5,3,14.5,7
4,228 Dworp 4,0,1,0.5,XX,3,2.5,3.5,3.5,14,8
5,278 Pantin 3,0,1,2,1,XX,3,4,2,13,6
6,249 Ruisbroek 2,1,2,2.5,1.5,1,XX,1.5,3.5,13,5
7,240 Machelen 2,0.5,0.5,2.5,0.5,0,2.5,XX,1.5,8,4
8,241 Tervuren 2,0,1,1,0.5,2,0.5,2.5,XX,7.5,3
