r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,201 CRE Bruxelles 3,XX,1.5,1,2.5,1.5,3.5,4,3,2.5,3.5,4,4,31,8
2,229 Woluwe 1,2.5,XX,2,3,4,1,2,3,4,2.5,2.5,4,30.5,9
3,244 Thibucle 2,3,2,XX,4,3.5,2,2,2.5,1.5,3,3.5,3.5,30.5,8.5
4,243 LV Leuven 3,1.5,1,0,XX,2.5,3,3,3.5,3,2,3.5,4,27,7.5
5,266 Desperado Leuven 2,2.5,0,0.5,1.5,XX,4,2.5,3,2,3,3,3.5,25.5,7.5
6,506 Mons 3,0.5,3,2,1,0,XX,2,2.5,1.5,4,1.5,2,20,4.5
7,228 Dworp 2,0,2,2,1,1.5,2,XX,1.5,2.5,0.5,2.5,3,18.5,4.5
8,203 Fous du Roy 1,1,1,1.5,0.5,1,1.5,2.5,XX,0.5,3,2.5,3.5,18.5,4
9,501 CRE Charleroi 3,1.5,0,2.5,1,2,2.5,1.5,3.5,XX,1.5,1.5,1,18.5,3.5
10,204 Benechec 1,0.5,1.5,1,2,1,0,3.5,1,2.5,XX,1.5,2.5,17,3.5
11,601 CRE Liège EL 3,0,1.5,0.5,0.5,1,2.5,1.5,1.5,2.5,2.5,XX,1.5,15.5,3
12,533 Lessines 1,0,0,0.5,0,0.5,2,1,0.5,3,1.5,2.5,XX,11.5,2.5
